,歌名,专辑名,链接,歌词
0,星期一 天气晴 我离开你,我要的幸福,http://www.lycgc.com/lyric-210-301333.html,0.0
1,我要的幸福 (CD Version)(Live) - live,台北万人演唱会(2000),http://www.lycgc.com/lyric-210-301323.html,0.0
2,自然(Live) - live,台北万人演唱会(2000),http://www.lycgc.com/lyric-210-301320.html,0.0
3,相信(Live) - live,台北万人演唱会(2000),http://www.lycgc.com/lyric-210-301318.html,0.0
4,天黑黑 (CD Version)(Live) - live,台北万人演唱会(2000),http://www.lycgc.com/lyric-210-301316.html,0.0
5,真的(自弹自唱版),风筝,http://www.lycgc.com/lyric-210-301313.html,0.0
6,Sometimes Love Just Ain't Enough,Start 自选集,http://www.lycgc.com/lyric-210-301293.html,0.0
7,天黑黑(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301285.html,0.0
8,我要的幸福(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301280.html,0.0
9,难得一见(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301277.html,0.0
10,Leave Me Alone(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301275.html,0.0
11,开始懂了(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301272.html,0.0
12,很好(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301270.html,0.0
13,爱情字典(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301268.html,0.0
14,Sparkling Diamonds(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301266.html,0.0
15,真的(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301263.html,0.0
16,零缺点(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301262.html,0.0
17,风筝(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301259.html,0.0
18,Dream A Little Dream Of Me(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301258.html,0.0
19,害怕(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301256.html,0.0
20,Someone(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301255.html,0.0
21,Silent All These Years(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301253.html,0.0
22,爱情证书(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301251.html,0.0
23,随堂测验(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301250.html,0.0
24,超快感(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301249.html,0.0
25,Venus(Live) - live,Start 世界巡回演唱会,http://www.lycgc.com/lyric-210-301248.html,0.0
26,"Tonight, I Feel Close To You",The Moment,http://www.lycgc.com/lyric-210-301242.html,0.0
27,The Moment 这一刻,The Moment,http://www.lycgc.com/lyric-210-301229.html,0.0
28,未知的精彩(Bonus Track),Stefanie,http://www.lycgc.com/lyric-210-301226.html,0.0
29,Let's Vino (Bonus Track),Stefanie,http://www.lycgc.com/lyric-210-301224.html,0.0
30,Our Memory,"My Story,Your Song 经典全记录",http://www.lycgc.com/lyric-210-301194.html,0.0
31,Intro - intro,逆光,http://www.lycgc.com/lyric-210-301152.html,0.0
32,原点,经典全纪录(主打精华版),http://www.lycgc.com/lyric-210-301145.html,0.0
33,Rise,Rise,http://www.lycgc.com/lyric-210-301143.html,0.0
34,是时候+Hidden Track,是时候,http://www.lycgc.com/lyric-210-301142.html,0.0
35,这个世界,彩虹金刚,http://www.lycgc.com/lyric-210-249303.html,0.0
36,童谣1987,彩虹金刚,http://www.lycgc.com/lyric-210-249302.html,0.0
37,克卜勒(2016),彩虹金刚,http://www.lycgc.com/lyric-210-249301.html,0.0
38,Sweet Child O' Mine,彩虹金刚,http://www.lycgc.com/lyric-210-249295.html,0.0
39,彩虹金刚,彩虹金刚,http://www.lycgc.com/lyric-210-249274.html,0.0
40,半句再见,六弄咖啡馆,http://www.lycgc.com/lyric-210-248638.html,0.0
41,在，也不见,电影《再见，在也不见》主题曲,http://www.lycgc.com/lyric-210-246082.html,0.0
42,RADIO,,http://www.lycgc.com/lyric-210-229349.html,0.0
43,天使的指纹（完整版）,,http://www.lycgc.com/lyric-210-203596.html,0.0
44,雨还是不停地落下,克卜勒,http://www.lycgc.com/lyric-210-202861.html,0.0
45,比较幸福,克卜勒,http://www.lycgc.com/lyric-210-202860.html,0.0
46,银泰,克卜勒,http://www.lycgc.com/lyric-210-202855.html,0.0
47,无限大,克卜勒,http://www.lycgc.com/lyric-210-202853.html,0.0
48,围绕,克卜勒,http://www.lycgc.com/lyric-210-202852.html,0.0
49,尚好的青春,克卜勒,http://www.lycgc.com/lyric-210-202850.html,0.0
50,渴,克卜勒,http://www.lycgc.com/lyric-210-202847.html,0.0
51,错觉,克卜勒,http://www.lycgc.com/lyric-210-202845.html,0.0
52,天使的指纹(试听版）,,http://www.lycgc.com/lyric-210-202841.html,0.0
53,天使的指纹,克卜勒,http://www.lycgc.com/lyric-210-202020.html,0.0
54,Kepler,,http://www.lycgc.com/lyric-210-199890.html,0.0
55,克卜勒,克卜勒,http://www.lycgc.com/lyric-210-199486.html,0.0
56,一路上有你（Live版）,,http://www.lycgc.com/lyric-210-191480.html,0.0
57,王子面,半成年主张,http://www.lycgc.com/lyric-210-158501.html,0.0
58,"Tonight,I Feel Close To You",If I Believe,http://www.lycgc.com/lyric-210-146209.html,0.0
59,第一天(修正完美版),完美的一天,http://www.lycgc.com/lyric-210-134129.html,0.0
60,永远,未完成,http://www.lycgc.com/lyric-210-45084.html,0.0
61,不能和你一起,The Moment,http://www.lycgc.com/lyric-210-45083.html,0.0
62,超快感,同名专辑,http://www.lycgc.com/lyric-210-45082.html,0.0
63,学会,未完成,http://www.lycgc.com/lyric-210-45081.html,0.0
64,没有人的方向,未完成,http://www.lycgc.com/lyric-210-45080.html,0.0
65,年轻无极限,未完成,http://www.lycgc.com/lyric-210-45079.html,0.0
66,自然,同名专辑,http://www.lycgc.com/lyric-210-45078.html,0.0
67,E-Lover,同名专辑,http://www.lycgc.com/lyric-210-45077.html,0.0
68,全心全意,One United People,http://www.lycgc.com/lyric-210-45076.html,0.0
69,爱情证书,同名专辑,http://www.lycgc.com/lyric-210-45075.html,0.0
70,浓眉毛,同名专辑,http://www.lycgc.com/lyric-210-45074.html,0.0
71,太阳底下,The Moment,http://www.lycgc.com/lyric-210-45073.html,0.0
72,一起走到,Leave,http://www.lycgc.com/lyric-210-45072.html,0.0
73,原来你什么都不想要,Start自选集,http://www.lycgc.com/lyric-210-45071.html,0.0
74,作战,leave,http://www.lycgc.com/lyric-210-45070.html,0.0
75,Up2u(雅芳彩妆系列广告主题曲),Start自选集,http://www.lycgc.com/lyric-210-45069.html,0.0
76,Everytime A Good Time(广告版),麦当劳2002广告曲,http://www.lycgc.com/lyric-210-45068.html,0.0
77,Sometimes Love Just Ain’t Enough,Start自选集,http://www.lycgc.com/lyric-210-45067.html,0.0
78,That I Would Be Good,Start自选集,http://www.lycgc.com/lyric-210-45066.html,0.0
79,Venus,Start自选集,http://www.lycgc.com/lyric-210-45065.html,0.0
80,爱情的诱惑,,http://www.lycgc.com/lyric-210-45064.html,0.0
81,Hey Jude,Start自选集,http://www.lycgc.com/lyric-210-45063.html,0.0
82,UP 2 U,孙燕姿自选集,http://www.lycgc.com/lyric-210-45062.html,0.0
83,橄榄树,Start自选集,http://www.lycgc.com/lyric-210-45061.html,0.0
84,Silent All These Years,Start自选集,http://www.lycgc.com/lyric-210-45060.html,0.0
85,风筝,风筝,http://www.lycgc.com/lyric-210-45059.html,0.0
86,UP 2U,,http://www.lycgc.com/lyric-210-45058.html,0.0
87,不要以为,,http://www.lycgc.com/lyric-210-45057.html,0.0
88,未完成,未完成,http://www.lycgc.com/lyric-210-45056.html,0.0
89,一样的夏天,Leave,http://www.lycgc.com/lyric-210-45055.html,0.0
90,我想,Leave,http://www.lycgc.com/lyric-210-45054.html,0.0
91,Leave,Leave,http://www.lycgc.com/lyric-210-45053.html,0.0
92,我是我,风筝,http://www.lycgc.com/lyric-210-45052.html,0.0
93,一起走到(唱吧新加坡2002主题歌),Leave,http://www.lycgc.com/lyric-210-45051.html,0.0
94,了解,未完成,http://www.lycgc.com/lyric-210-45050.html,0.0
95,一败涂地,我要的幸福,http://www.lycgc.com/lyric-210-45049.html,0.0
96,我不烦,我要的幸福,http://www.lycgc.com/lyric-210-45048.html,0.0
97,我只是用流浪惩罚爱你的心,,http://www.lycgc.com/lyric-210-45047.html,0.0
98,第六感,The Moment,http://www.lycgc.com/lyric-210-45046.html,0.0
99,懒的去管,The Moment,http://www.lycgc.com/lyric-210-45045.html,0.0
100,懒得去管,The Moment,http://www.lycgc.com/lyric-210-45044.html,0.0
101,麦当劳广告歌曲,,http://www.lycgc.com/lyric-210-45043.html,0.0
102,sillent All These Years,,http://www.lycgc.com/lyric-210-45042.html,0.0
103,My Story Your Song,未完成,http://www.lycgc.com/lyric-210-45041.html,0.0
104,接下来,未完成,http://www.lycgc.com/lyric-210-45040.html,0.0
105,"My Story,Your Song",未完成,http://www.lycgc.com/lyric-210-45039.html,0.0
106,直来直往,Leave,http://www.lycgc.com/lyric-210-45038.html,0.0
107,星期一天气晴我离开你,我要的幸福,http://www.lycgc.com/lyric-210-45037.html,0.0
108,未知的精彩,,http://www.lycgc.com/lyric-210-45036.html,0.0
109,一起走过,,http://www.lycgc.com/lyric-210-45035.html,0.0
110,不同,Leave,http://www.lycgc.com/lyric-210-45034.html,0.0
111,懂事,Leave,http://www.lycgc.com/lyric-210-45033.html,0.0
112,我不爱,Leave,http://www.lycgc.com/lyric-210-45032.html,0.0
113,眼神,Leave,http://www.lycgc.com/lyric-210-45031.html,0.0
114,相信,我要的幸福,http://www.lycgc.com/lyric-210-45030.html,0.0
115,不能和你在一起,the moment,http://www.lycgc.com/lyric-210-45029.html,0.0
116,天黑黑,同名专辑,http://www.lycgc.com/lyric-210-45028.html,0.0
117,就是这样,Start自选集,http://www.lycgc.com/lyric-210-45027.html,0.0
118,Leave Me Alone,同名专辑,http://www.lycgc.com/lyric-210-45026.html,0.0
119,Someone,Start自选集,http://www.lycgc.com/lyric-210-45025.html,0.0
